"data.V15" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
0 18 3 219256 16 10 5 12 4 5 1 0 0 25 39
0 19 3 248730 16 10 5 11 4 5 2 0 0 30 39
0 41 3 110732 16 10 1 13 2 5 1 0 0 40 39
0 41 3 181020 12 9 1 6 5 5 1 0 0 40 39
0 69 3 183791 12 9 1 1 2 5 1 0 0 25 39
1 48 1 42972 11 16 3 10 6 5 1 0 0 40 39
0 28 3 134813 12 9 5 10 4 5 2 0 0 40 39
1 27 5 115438 12 9 3 3 1 5 2 0 0 60 21
1 41 3 239296 13 14 3 10 1 5 2 0 2415 50 39
0 41 3 428420 16 10 3 1 1 5 2 0 0 40 39
0 24 3 247846 12 9 5 3 5 3 1 0 0 40 39
1 42 4 100793 11 16 3 10 1 5 2 0 0 41 39
0 57 3 244478 12 9 3 3 1 3 2 0 0 48 39
0 30 3 142921 8 12 5 10 2 5 1 0 0 40 39
1 36 3 182863 12 9 3 12 1 5 2 0 0 60 39
0 49 3 171128 6 4 3 7 1 3 2 0 0 40 39
0 33 3 145402 12 9 3 7 6 5 1 0 0 35 39
0 23 3 306309 1 6 3 5 1 5 2 0 0 40 39
0 46 3 83822 13 14 3 10 1 5 2 0 0 40 39
0 18 3 262118 16 10 5 1 4 2 1 0 0 22 11
1 40 3 155972 12 9 3 4 1 5 2 7688 0 55 39
1 43 4 214503 12 9 3 4 1 5 2 0 1887 45 39
0 34 3 159303 13 14 5 10 4 5 1 0 0 30 39
0 47 5 174995 12 9 7 4 2 5 1 0 0 30 39
0 44 3 26669 9 11 7 4 5 5 1 0 0 30 39
1 33 3 177727 12 9 3 12 1 5 2 0 0 40 39
1 55 3 124771 10 13 3 4 1 5 2 15024 0 50 39
0 19 3 456736 12 9 5 12 2 5 2 2907 0 30 39
0 28 3 216604 16 10 5 8 2 3 2 0 0 14 39
0 27 3 221561 2 7 3 8 6 3 1 0 0 32 39
0 50 3 114564 6 4 3 7 1 5 2 0 0 20 39
0 22 3 315476 2 7 5 3 5 5 2 0 0 40 39
1 40 6 67874 10 13 3 1 1 5 2 0 1887 45 39
0 25 3 126110 16 10 5 1 4 5 1 0 0 40 39
0 26 2 102264 12 9 5 3 2 5 2 0 0 40 39
0 22 3 537222 10 13 5 12 2 5 2 0 0 25 39
0 42 3 113732 16 10 5 6 5 3 1 0 625 40 39
0 38 4 93225 10 13 1 4 2 5 2 0 0 40 39
0 55 3 43064 2 7 3 8 1 5 2 0 0 30 39
0 32 3 136921 12 9 3 12 1 5 2 0 0 40 39
0 22 3 388885 12 9 3 3 1 5 2 0 0 45 39
0 29 3 142249 10 13 5 12 4 5 2 0 0 40 39
1 46 6 56841 13 14 3 4 1 5 2 0 0 45 39
1 31 3 156493 16 10 3 4 1 5 2 0 0 40 39
1 58 5 159021 11 16 3 10 1 5 2 0 0 16 39
0 42 3 190910 12 9 3 3 1 5 2 0 0 45 39
0 18 3 41879 12 9 5 6 5 5 2 0 0 25 39
0 58 2 137249 12 9 1 4 2 5 2 0 0 33 39
1 54 3 236157 12 9 3 10 1 5 2 0 1887 40 39
0 34 3 189759 13 14 5 10 2 5 2 0 0 40 39
0 26 3 239877 10 13 5 1 2 5 1 0 0 40 39
0 61 3 21175 3 8 3 4 1 5 2 0 0 60 39
0 48 2 67229 13 14 6 1 5 3 1 0 0 40 39
1 36 3 236391 16 10 3 4 1 5 2 0 0 45 39
0 24 3 325596 9 11 3 7 1 5 2 0 0 45 39
0 40 3 83411 16 10 3 7 1 5 2 0 0 37 39
1 33 4 154227 12 9 3 12 1 5 2 0 0 50 39
1 37 3 248010 16 10 3 7 1 5 2 0 1887 40 39
0 34 3 198613 13 14 5 4 4 5 2 4650 0 40 39
1 56 4 321529 16 10 3 4 1 5 2 15024 0 40 39
0 37 3 203079 10 13 7 4 2 5 1 0 0 55 39
0 44 3 284652 12 9 1 12 5 3 1 0 0 40 39
0 54 3 59840 12 9 1 6 2 5 2 0 0 45 39
0 23 3 52753 12 9 5 7 2 5 2 0 0 50 39
0 22 3 199266 12 9 5 8 2 5 1 0 0 45 39
1 33 3 196385 10 13 3 4 1 5 2 0 1977 40 39
1 39 3 163205 10 13 6 10 2 5 2 0 0 50 39
0 47 3 411047 16 10 1 1 2 3 1 0 0 37 39
0 26 3 209440 12 9 5 10 5 3 1 0 0 55 39
0 31 3 56964 16 10 1 4 5 5 1 0 0 40 39
0 44 3 299197 16 10 5 14 2 5 2 0 0 45 39
1 42 4 240628 15 15 3 10 6 5 1 0 0 50 39
0 19 3 355313 12 9 5 7 2 5 1 0 0 40 39
1 27 3 132267 12 9 3 6 1 5 2 0 0 40 39
1 51 2 174861 16 10 3 11 1 5 2 0 0 40 39
0 28 4 142443 10 13 3 4 1 5 2 0 0 50 39
0 57 3 26716 10 13 1 3 2 5 2 0 0 45 39
0 45 2 185588 10 13 1 10 5 5 1 0 0 40 39
1 50 3 175029 9 11 3 10 1 5 2 0 0 40 39
0 34 4 34848 10 13 3 12 1 5 2 0 0 54 39
0 45 3 411273 6 4 3 3 1 3 2 0 0 40 39
0 73 2 143437 12 9 3 4 1 5 2 0 0 20 39
1 34 3 357145 10 13 3 10 6 5 1 0 0 50 39
1 31 3 236861 16 10 3 12 1 5 2 0 0 55 39
0 19 3 53355 2 7 5 12 2 5 2 0 0 12 39
0 25 3 29106 16 10 5 8 4 5 1 0 0 50 39
0 38 1 213274 9 11 1 3 5 5 1 6497 0 40 39
0 39 3 22463 10 13 3 14 1 5 2 0 0 40 39
0 23 3 180497 10 13 5 13 4 3 1 0 0 32 39
0 49 3 37306 12 9 3 7 1 5 2 0 0 40 39
0 33 1 137814 12 9 5 8 2 5 2 0 0 32 39
0 21 3 447488 5 3 5 7 3 5 2 0 0 38 26
0 31 3 220915 9 11 6 3 2 5 2 0 0 40 39
0 23 3 42251 10 13 5 4 2 5 1 0 0 45 39
0 34 3 162312 10 13 3 1 1 2 2 0 0 40 30
0 25 3 77698 12 9 5 7 2 2 1 0 0 40 30
0 39 3 282951 12 9 5 3 5 5 2 0 0 40 39
1 52 4 311259 12 9 3 12 1 5 2 0 0 40 39
1 63 2 65479 7 5 3 14 1 5 2 7688 0 40 39
0 41 3 277256 16 10 3 3 1 5 2 0 0 40 39
1 46 3 312088 10 13 3 10 1 5 2 15024 0 38 39
0 53 2 169719 12 9 3 4 1 5 2 0 0 40 39
0 18 3 96869 3 8 5 9 4 5 2 0 0 40 39
0 38 3 237943 15 15 3 10 1 5 2 0 0 50 39
0 55 3 119751 13 14 5 4 5 2 1 0 0 50 37
1 34 3 236861 12 9 3 13 1 5 2 0 0 40 39
0 80 5 201092 12 9 3 8 1 5 2 0 0 30 39
0 34 3 147215 9 11 1 13 5 5 1 0 0 60 39
0 52 3 152373 16 10 3 13 1 5 2 5013 0 40 39
0 42 3 227968 12 9 5 8 5 3 1 0 0 28 14
0 26 3 362617 16 10 5 12 2 5 1 0 0 40 39
0 31 3 103435 12 9 3 14 1 5 2 0 0 40 39
0 25 2 281412 12 9 5 8 4 5 1 0 0 35 39
0 55 5 105239 12 9 3 3 1 5 2 0 2057 60 39
0 19 3 230165 16 10 5 8 4 5 1 0 0 12 39
0 62 5 177493 16 10 3 14 1 5 2 0 0 32 39
0 22 1 104443 16 10 5 1 4 5 1 0 0 20 39
0 35 3 143385 12 9 3 6 1 5 2 0 0 40 39
0 28 3 107189 12 9 3 12 4 5 1 0 0 40 39
1 47 3 212944 12 9 3 14 1 5 2 0 0 70 39
0 44 6 138634 12 9 3 7 1 5 2 0 0 40 39
0 21 3 99970 16 10 5 12 4 5 2 0 0 15 39
0 35 3 203717 9 11 5 3 2 5 2 0 0 50 39
1 24 3 313956 10 13 3 10 1 5 2 0 0 40 39
0 28 3 193868 10 13 5 13 4 5 2 0 0 50 39
0 21 3 250939 16 10 5 7 3 5 2 0 0 35 39
0 62 1 57629 16 10 1 13 2 3 2 4650 0 40 39
0 39 3 281768 12 9 5 8 2 3 1 0 0 40 39
0 30 6 260782 12 9 5 8 2 5 2 0 0 40 39
0 72 5 243769 15 15 5 10 2 5 2 0 1429 20 39
0 50 3 109937 16 10 3 4 6 5 1 0 0 50 39
0 28 2 134890 13 14 5 10 2 5 2 0 0 40 39
0 29 3 100293 16 10 5 10 2 5 1 0 0 40 39
0 26 3 132179 10 13 5 1 4 5 1 0 0 40 39
0 27 3 116372 13 14 5 4 2 5 1 0 0 40 39
1 29 3 255412 16 10 3 6 1 5 2 3103 0 40 39
0 29 3 342400 1 6 3 3 1 5 2 0 0 25 39
0 31 3 169085 2 7 3 12 6 5 1 0 0 20 39
0 25 3 177221 12 9 3 4 1 5 2 0 0 75 39
1 58 3 65325 1 6 3 14 1 5 2 0 0 40 39
1 64 3 118944 16 10 3 4 6 5 1 0 0 40 39
0 46 6 149337 13 14 5 4 2 5 2 0 0 38 39
0 19 3 106183 12 9 5 8 4 1 1 0 0 35 39
0 42 3 226388 12 9 1 8 2 3 2 0 0 52 39
0 18 3 220754 2 7 5 6 4 5 2 0 0 24 39
1 58 4 204021 10 13 3 3 1 5 2 15024 0 50 39
0 20 3 347391 16 10 5 11 2 3 2 0 0 60 39
1 35 1 413930 12 9 3 3 1 5 2 0 0 40 39
1 32 3 174201 12 9 3 6 1 5 2 0 0 38 39
0 23 3 145917 12 9 5 6 2 5 1 0 0 25 39
0 31 3 241797 16 10 1 13 5 5 1 0 0 40 39
0 33 3 265168 10 13 3 12 1 3 2 0 0 55 39
0 41 3 171234 16 10 5 7 2 5 1 0 0 48 39
0 22 3 178452 12 9 5 7 4 3 2 0 0 40 39
1 46 3 157857 16 10 3 11 1 5 2 0 0 40 39
0 61 1 512864 16 10 3 14 1 3 2 0 0 40 39
0 30 3 296462 12 9 5 4 2 3 2 0 0 40 39
1 42 3 171615 12 9 3 4 1 5 2 0 0 55 39
0 63 3 214071 1 6 3 6 1 5 2 0 0 40 39
0 26 3 172421 16 10 3 12 1 5 2 0 0 40 39
0 42 3 195488 1 6 1 1 5 5 1 0 0 40 39
0 23 3 316841 16 10 3 8 1 5 2 0 0 40 39
0 25 3 236267 12 9 5 7 5 5 2 0 1590 40 39
1 30 3 236543 7 5 3 8 1 5 2 0 0 32 8
0 23 3 318483 12 9 5 12 4 5 2 0 0 40 39
1 34 5 163756 9 11 5 5 2 5 2 27828 0 60 39
0 30 3 238186 12 9 3 7 3 5 2 0 2057 48 39
1 39 3 329980 16 10 3 3 1 5 2 0 0 40 39
0 30 3 169269 2 7 5 6 3 5 2 0 1721 38 33
0 38 2 34744 16 10 1 1 5 5 1 0 0 38 39
0 26 3 98114 12 9 1 4 4 5 1 0 0 40 39
0 20 3 109667 16 10 5 6 4 5 2 0 0 16 39
0 33 3 147430 12 9 3 1 4 5 1 0 0 40 39
0 24 3 224238 10 13 5 1 4 5 2 0 0 40 39
1 42 4 212894 10 13 3 4 1 5 2 0 0 60 39
0 51 5 136708 12 9 3 12 1 2 2 3103 0 84 40
1 56 2 38573 8 12 3 13 1 5 2 0 0 45 39
0 22 3 197200 16 10 5 6 4 5 2 0 0 40 39
0 52 5 182796 16 10 3 5 1 5 2 0 0 60 39
1 44 3 184527 10 13 1 4 5 5 1 4934 0 45 39
0 34 3 145231 12 9 3 1 6 5 1 4064 0 35 39
1 51 3 43354 16 10 1 3 2 5 2 0 0 42 39
0 19 3 355712 16 10 5 12 2 5 1 0 0 25 39
1 37 3 98776 10 13 3 4 1 5 2 0 0 40 39
1 68 3 257557 12 9 3 7 1 3 2 0 0 40 39
0 22 3 102258 16 10 1 11 2 5 2 0 0 40 39
0 56 4 170287 10 13 3 4 1 5 2 0 0 40 39
0 37 3 243409 12 9 3 3 1 5 2 0 0 40 39
0 52 3 55608 4 2 3 7 1 5 2 0 0 40 26
0 26 3 248057 12 9 6 6 4 5 2 0 0 40 33
0 33 3 95530 13 14 3 10 1 5 2 0 0 50 39
0 45 2 54038 13 14 1 10 5 5 1 0 0 42 39
0 18 3 161245 2 7 5 8 4 5 2 0 0 15 39
1 43 5 388725 16 10 3 5 1 5 2 0 0 60 39
0 18 3 228216 12 9 5 6 4 5 2 0 0 20 39
1 57 3 78020 12 9 3 3 1 5 2 0 0 40 39
0 41 3 249254 12 9 1 1 5 5 1 3674 0 42 39
1 34 3 87218 13 14 3 4 1 5 2 0 1887 50 39
0 19 3 304299 12 9 5 12 5 5 1 0 0 40 39
0 44 3 196234 7 5 1 8 5 5 1 0 0 55 6
0 56 3 197875 1 6 7 8 5 5 1 0 0 40 39
0 36 4 48063 12 9 3 5 1 5 2 0 0 80 39
0 48 3 253596 10 13 1 4 5 5 1 0 0 48 39
1 29 3 39257 12 9 3 14 1 5 2 0 0 40 39
0 33 3 56150 10 13 5 3 2 5 2 2174 0 40 39
0 31 3 179415 5 3 3 8 1 5 2 0 0 40 26
1 39 3 252445 13 14 3 10 1 5 2 0 0 45 39
1 66 3 275918 12 9 3 4 1 5 2 10605 0 40 39
1 27 3 106562 10 13 5 10 2 5 1 0 0 50 39
1 39 3 198654 12 9 1 4 5 3 1 99999 0 40 39
1 59 3 107318 6 4 3 3 1 5 2 5178 0 50 39
0 26 3 181896 12 9 5 8 4 5 1 0 0 40 39
0 31 3 106014 9 11 1 3 5 5 2 0 0 40 39
0 23 3 197997 12 9 5 6 4 5 2 0 0 30 39
0 36 2 173542 12 9 1 1 5 5 1 0 0 40 39
1 34 3 207564 16 10 3 8 6 5 1 0 0 12 39
1 32 3 224462 12 9 3 14 1 5 2 0 0 84 39
1 37 3 123361 10 13 3 10 1 3 2 0 0 50 39
0 33 3 90409 10 13 5 12 2 5 2 0 0 45 39
1 50 5 165001 15 15 3 10 1 5 2 99999 0 80 39
0 32 1 149573 8 12 5 11 2 3 2 0 0 40 39
0 35 3 249456 10 13 5 1 4 3 1 0 0 40 39
0 37 3 149898 2 7 3 3 1 5 2 0 0 40 39
0 44 3 292985 16 10 1 3 2 5 2 0 0 60 39
0 57 3 50223 16 10 1 6 3 5 2 0 0 25 39
0 29 2 400074 16 10 3 4 4 5 1 0 0 40 39
1 55 3 197399 12 9 3 3 1 5 2 0 0 50 39
1 43 4 209547 15 15 3 10 1 5 2 0 0 25 39
0 43 3 52433 16 10 3 12 1 5 2 0 0 70 39
1 45 5 355978 16 10 3 12 1 5 2 0 0 60 39
0 33 5 48214 13 14 3 10 6 5 1 0 0 8 39
0 26 3 190873 1 6 1 8 5 5 1 0 0 40 11
0 23 3 278390 16 10 3 12 1 5 2 0 0 68 39
0 41 3 203217 6 4 6 3 2 5 2 0 0 40 26
0 24 3 279175 12 9 3 3 1 5 2 0 0 40 39
0 47 5 194590 10 13 3 12 1 5 2 0 0 44 39
0 34 5 198813 12 9 5 3 4 5 2 0 0 45 39
1 40 3 187294 12 9 3 4 1 5 2 0 0 40 39
0 28 3 302903 10 13 3 10 6 2 1 0 1485 40 39
0 24 3 154835 12 9 5 4 4 2 1 0 0 40 35
0 23 3 100345 12 9 5 3 3 5 2 0 0 15 39
1 43 5 126320 12 9 3 4 1 3 2 0 0 40 39
0 26 3 142226 10 13 1 13 2 5 1 0 0 40 39
1 58 5 112076 11 16 2 4 6 5 1 0 1485 35 39
0 52 3 225339 12 9 7 1 5 3 1 0 0 35 39
1 29 3 211208 2 7 3 14 1 5 2 0 0 99 39
0 47 3 200808 2 7 3 8 1 5 2 0 0 35 4
0 49 3 220618 12 9 1 1 5 3 1 0 0 37 39
0 40 3 210493 2 7 7 1 5 5 1 0 0 40 39
0 62 5 369734 12 9 3 1 6 5 1 0 0 40 39
1 49 3 27898 12 9 3 4 1 5 2 0 1977 55 39
1 50 3 138193 10 13 1 10 3 5 1 0 0 50 39
0 31 3 224234 12 9 5 14 4 3 2 0 0 40 39
0 48 2 188741 13 14 5 10 2 5 1 0 0 50 39
0 24 3 183772 12 9 5 3 5 5 1 0 0 40 39
0 37 3 79586 12 9 6 7 4 2 2 0 0 60 39
1 45 3 355781 10 13 3 4 1 2 2 0 0 45 24
0 36 3 116358 13 14 3 4 1 2 2 0 0 45 19
0 45 3 59287 10 13 3 4 1 5 2 0 0 40 39
0 41 3 138868 10 13 5 12 2 5 1 0 0 40 39
0 26 3 185885 8 12 5 13 3 5 1 0 0 20 39
0 17 3 40299 2 7 5 12 4 5 1 0 0 25 39
0 43 3 51494 12 9 3 7 1 5 2 0 0 65 39
0 35 3 179481 12 9 5 14 4 5 2 0 0 55 39
0 38 3 365907 10 13 1 1 5 5 1 0 0 40 39
0 26 3 284343 12 9 5 7 2 5 2 0 0 40 39
0 28 3 204862 16 10 5 4 4 5 1 0 0 40 39
1 38 3 272476 10 13 3 10 6 5 1 0 0 24 39
0 36 3 175130 2 7 1 14 5 5 1 0 0 40 39
1 33 3 118941 12 9 3 1 6 5 1 0 0 40 39
0 19 3 164339 12 9 5 6 4 5 2 1055 0 70 39
0 42 1 55457 1 6 3 1 1 5 2 0 0 40 26
1 50 3 280292 1 6 3 14 1 5 2 0 0 40 39
0 30 3 446894 12 9 3 6 1 5 2 0 0 30 39
0 37 6 67083 16 10 3 10 3 2 2 0 0 40 1
1 54 4 159219 15 15 3 10 1 5 2 99999 0 40 39
0 52 4 168539 10 13 5 4 2 5 2 0 0 40 39
0 33 3 150309 12 9 1 3 2 5 1 0 0 40 39
0 25 3 122999 16 10 5 13 3 5 2 0 0 40 39
0 24 3 302195 10 13 5 12 2 5 2 0 0 45 39
0 26 3 210982 9 11 6 1 5 3 1 114 0 40 39
1 39 3 177140 12 9 6 1 2 5 2 0 0 40 39
0 59 3 113838 12 9 1 8 2 5 1 0 0 40 39
0 29 3 97165 16 10 5 1 5 5 1 0 0 40 39
0 47 3 104301 2 7 5 8 4 5 1 0 0 45 39
0 64 4 115931 12 9 3 14 1 5 2 0 0 50 39
0 21 3 147280 12 9 5 8 4 4 2 0 0 20 39
1 32 3 185433 16 10 3 1 6 3 1 0 0 40 39
0 26 3 599057 12 9 5 4 2 3 1 0 0 37 39
0 62 5 71467 13 14 3 10 1 5 2 0 0 40 39
1 32 3 183977 10 13 3 3 1 5 2 0 0 55 39
0 45 5 196858 12 9 3 4 1 5 2 0 0 60 39
1 31 3 160594 10 13 3 4 1 5 2 0 1887 50 39
0 32 3 65278 12 9 3 1 1 5 2 2580 0 40 39
0 24 3 102258 10 13 3 12 1 5 2 0 0 40 39
0 25 3 196947 10 13 5 12 4 5 1 0 0 40 39
0 41 5 233150 12 9 3 4 1 5 2 0 0 60 39
0 18 3 42857 16 10 5 12 4 5 1 0 0 20 39
1 44 3 118059 11 16 3 10 1 5 2 0 0 55 39
0 40 3 169262 16 10 3 4 1 5 2 3411 0 50 39
0 27 3 95108 10 13 5 10 2 5 2 0 0 40 39
0 23 3 161092 10 13 5 1 4 5 2 0 0 40 39
0 21 3 345253 16 10 5 1 2 4 2 2174 0 40 39
0 37 6 111275 12 9 3 14 1 5 2 0 0 40 39
0 65 5 178878 12 9 3 5 1 5 2 0 0 48 39
1 43 1 157237 13 14 3 10 1 5 2 0 0 40 39
0 45 3 155664 12 9 5 1 2 5 2 0 0 44 39
0 24 6 322658 10 13 5 4 2 5 1 0 0 40 39
0 24 3 208503 16 10 5 7 2 5 2 0 0 42 39
0 19 2 223326 16 10 5 11 4 5 2 0 1721 35 39
1 37 3 20308 10 13 3 10 1 5 2 0 0 65 39
0 24 3 124751 12 9 5 1 4 5 1 0 0 35 39
0 34 3 113364 16 10 3 7 1 5 2 0 0 40 11
0 50 6 196900 12 9 3 8 6 5 1 0 0 39 39
0 36 3 168170 12 9 3 3 1 5 2 0 0 40 33
0 39 3 205338 10 13 3 12 1 5 2 0 0 60 39
0 44 5 98806 6 4 3 3 1 5 2 0 0 38 39
0 45 6 226452 12 9 3 8 1 5 2 0 0 40 39
0 32 6 479179 2 7 5 11 4 5 2 0 0 40 39
1 47 1 471990 13 14 3 4 1 3 2 0 0 40 39
0 50 3 44728 12 9 3 7 1 5 2 0 0 40 39
0 32 3 33117 9 11 3 8 1 5 2 0 0 40 39
0 19 3 264876 12 9 5 6 4 5 2 0 0 40 39
0 28 3 193122 12 9 1 12 3 5 2 0 0 50 39
1 39 1 149347 13 14 5 10 2 5 2 0 0 40 31
0 21 3 129172 16 10 5 8 2 5 2 2907 0 40 39
0 73 5 151255 16 10 7 5 2 5 1 0 0 75 39
0 39 3 98886 6 4 3 8 1 5 2 4508 0 40 26
0 25 3 238673 16 10 5 7 2 5 2 0 0 40 39
0 31 3 137991 16 10 2 12 6 5 1 0 0 20 39
0 51 3 85942 16 10 1 12 2 5 1 0 0 32 39
0 39 3 85783 10 13 3 1 6 5 1 0 0 28 39
0 31 3 174789 10 13 1 6 4 5 2 0 0 40 39
0 21 3 457162 16 10 5 12 4 3 2 0 0 17 39
1 46 3 176026 10 13 1 4 2 5 2 27828 0 50 39
0 73 3 88594 12 9 1 4 2 5 1 0 0 35 39
